08/12/20, 16:32:20, 4, 0, :Invalid directory.
08/12/20, 16:32:20, 4, 0, :Invalid directory.
08/12/20, 16:32:24, 4, 0, :Invalid directory.
08/12/20, 16:32:24, 4, 0, :Invalid directory.
08/12/20, 16:32:35, 4, 0, :Invalid directory.
08/12/20, 16:32:45, 4, 0, :Invalid directory.
08/12/20, 16:32:45, 4, 0, :Invalid directory.
08/12/20, 16:32:51, 4, 0, :Invalid directory.
08/14/20, 16:01:14, 4, 0, :Invalid directory.
08/14/20, 16:01:15, 4, 0, :Invalid directory.
08/14/20, 16:01:24, 4, 0, :Invalid directory.
08/14/20, 16:01:24, 4, 0, :Invalid directory.
14/08/2020, 04:06:19 p.m., 4, 0, :Invalid directory.
14/08/2020, 04:06:34 p.m., 4, 0, :Invalid directory.
